,員工滿意度,雇主評分,工作項目,每月工作時數,工作年資,工傷紀錄,在職中,近5年升遷,職務,薪資
1,0.38,0.53,2,157,3,0,1,0,業務,低
2,0.8,0.86,5,262,6,0,1,0,業務,中
3,0.11,0.88,7,272,4,0,1,0,業務,中
4,0.72,0.87,5,223,5,0,1,0,業務,低
5,0.76,0.89,5,262,5,0,1,0,業務,低
6,0.11,0.83,6,282,4,0,1,0,業務,低
7,0.38,0.55,2,147,3,0,1,0,業務,低
8,0.09,0.95,6,304,4,0,1,0,業務,低
9,0.46,0.57,2,139,3,0,1,0,業務,低
10,0.4,0.53,2,158,3,0,1,0,業務,低
11,0.89,0.92,5,242,5,0,1,0,業務,低
12,0.82,0.87,4,239,5,0,1,0,業務,低
13,0.4,0.49,2,135,3,0,1,0,業務,低
14,0.41,0.46,2,128,3,0,1,0,財務會計,低
15,0.38,0.5,2,132,3,0,1,0,財務會計,低
16,0.09,0.62,6,294,4,0,1,0,財務會計,低
17,0.45,0.57,2,134,3,0,1,0,人力資源,低
18,0.4,0.51,2,145,3,0,1,0,人力資源,低
19,0.45,0.55,2,140,3,0,1,0,人力資源,低
20,0.84,0.87,4,246,6,0,1,0,人力資源,低
21,0.1,0.94,6,255,4,0,1,0,技術員,低
22,0.38,0.46,2,137,3,0,1,0,技術員,低
23,0.45,0.5,2,126,3,0,1,0,技術員,低
24,0.11,0.89,6,306,4,0,1,0,技術員,低
25,0.41,0.54,2,152,3,0,1,0,技術員,低
26,0.87,0.88,5,269,5,0,1,0,技術員,低
27,0.45,0.48,2,158,3,0,1,0,技術員,低
28,0.4,0.46,2,127,3,0,1,0,技術員,低
29,0.1,0.8,7,281,4,0,1,0,技術員,低
30,0.09,0.89,6,276,4,0,1,0,技術員,低
31,0.84,0.74,3,182,4,0,1,0,技術員,低
32,0.4,0.55,2,147,3,0,1,0,技術支援,低
33,0.57,0.7,3,273,6,0,1,0,技術支援,低
34,0.4,0.54,2,148,3,0,1,0,技術支援,低
35,0.43,0.47,2,147,3,0,1,0,技術支援,低
36,0.13,0.78,6,152,2,0,1,0,技術支援,低
37,0.44,0.55,2,135,3,0,1,0,技術支援,低
38,0.38,0.55,2,134,3,0,1,0,技術支援,低
39,0.39,0.54,2,132,3,0,1,0,技術支援,低
40,0.1,0.92,7,307,4,0,1,0,技術支援,低
41,0.37,0.46,2,140,3,0,1,0,技術支援,低
42,0.11,0.94,7,255,4,0,1,0,技術支援,低
43,0.1,0.81,6,309,4,0,1,0,技術員,低
44,0.38,0.54,2,128,3,0,1,0,技術員,低
45,0.85,1,4,225,5,0,1,0,技術員,低
46,0.85,0.91,5,226,5,0,1,0,經理,中
47,0.11,0.93,7,308,4,0,1,0,資訊科技,中
48,0.1,0.95,6,244,5,0,1,0,資訊科技,中
49,0.36,0.56,2,132,3,0,1,0,資訊科技,中
50,0.11,0.94,6,286,4,0,1,0,資訊科技,中
51,0.81,0.7,6,161,4,0,1,0,資訊科技,中
52,0.43,0.54,2,153,3,0,1,0,產品管理,中
53,0.9,0.98,4,264,6,0,1,0,產品管理,中
54,0.76,0.86,5,223,5,1,1,0,產品管理,中
55,0.43,0.5,2,135,3,0,1,0,產品管理,中
56,0.74,0.99,2,277,3,0,1,0,資訊科技,中
57,0.09,0.77,5,275,4,0,1,0,產品管理,中
58,0.45,0.49,2,149,3,0,1,0,產品管理,高
59,0.09,0.87,7,295,4,0,1,0,產品管理,低
60,0.11,0.97,6,277,4,0,1,0,產品管理,中
61,0.11,0.79,7,306,4,0,1,0,產品管理,中
62,0.1,0.83,6,295,4,0,1,0,產品管理,中
63,0.4,0.54,2,137,3,0,1,0,行銷,中
64,0.43,0.56,2,157,3,0,1,0,業務,低
65,0.39,0.56,2,142,3,0,1,0,財務會計,低
66,0.45,0.54,2,140,3,0,1,0,技術支援,低
67,0.38,0.49,2,151,3,0,1,0,技術員,低
68,0.79,0.59,4,139,3,0,1,1,經理,低
69,0.84,0.85,4,249,6,0,1,0,行銷,低
70,0.11,0.77,6,291,4,0,1,0,行銷,低
71,0.11,0.87,6,305,4,0,1,0,行銷,低
72,0.17,0.84,5,232,3,0,1,0,業務,低
73,0.44,0.45,2,132,3,0,1,0,業務,低
74,0.37,0.57,2,130,3,0,1,0,業務,低
75,0.1,0.79,6,291,4,0,1,0,業務,低
76,0.4,0.5,2,130,3,0,1,0,業務,低
77,0.89,1,5,246,5,0,1,0,業務,低
78,0.42,0.48,2,143,3,0,1,0,業務,低
79,0.46,0.55,2,129,3,0,1,0,業務,低
80,0.09,0.83,6,255,4,0,1,0,業務,低
81,0.37,0.51,2,155,3,0,1,0,業務,低
82,0.1,0.77,6,265,4,0,1,0,業務,低
83,0.1,0.84,6,279,4,0,1,0,業務,低
84,0.11,0.97,6,284,4,0,1,0,業務,低
85,0.9,1,5,221,6,0,1,0,業務,中
86,0.38,0.52,2,154,3,0,1,0,業務,中
87,0.36,0.52,2,147,3,0,1,0,業務,中
88,0.42,0.46,2,150,3,0,1,0,業務,中
89,0.09,0.94,7,267,4,0,1,0,業務,中
90,0.43,0.52,2,158,3,0,1,0,業務,中
91,0.24,0.46,7,224,5,0,1,0,財務會計,中
92,0.91,1,4,257,5,0,1,0,財務會計,中
93,0.44,0.5,2,148,3,0,1,0,財務會計,中
94,0.71,0.87,3,177,4,0,1,0,人力資源,中
95,0.4,0.49,2,155,3,0,1,0,人力資源,中
96,0.43,0.47,2,144,3,0,1,0,人力資源,中
97,0.09,0.85,6,289,4,0,1,0,人力資源,高
98,0.43,0.52,2,160,3,0,1,0,技術員,低
99,0.9,0.96,4,258,5,0,1,0,技術員,中
100,0.84,1,5,234,5,0,1,0,技術員,中
101,0.37,0.48,2,137,3,0,1,0,技術員,中
102,0.86,0.68,5,263,2,0,1,0,技術員,中
103,0.11,0.84,6,251,4,0,1,0,技術員,低
104,0.37,0.57,2,133,3,0,1,0,技術員,低
105,0.4,0.46,2,132,3,0,1,0,技術員,低
106,0.14,0.62,4,158,4,1,1,0,技術員,低
107,0.4,0.46,2,135,3,0,1,0,技術員,低
108,0.75,1,4,216,6,0,1,0,技術員,低
109,0.11,0.84,6,300,5,1,1,0,技術支援,低
110,0.46,0.49,2,138,3,0,1,0,技術支援,低
111,0.11,0.92,6,260,4,0,1,0,技術支援,低
112,0.38,0.49,2,132,3,0,1,0,技術支援,低
113,0.7,0.89,3,183,5,0,1,0,技術支援,低
114,0.09,0.82,6,250,4,0,1,0,技術支援,低
115,0.37,0.45,2,151,3,0,1,0,技術支援,低
116,0.1,0.83,6,292,4,0,1,0,技術支援,低
117,0.38,0.57,2,140,3,0,1,0,技術支援,低
118,0.9,1,5,221,5,0,1,0,技術支援,低
119,0.44,0.51,2,138,3,0,1,0,技術支援,低
120,0.36,0.5,2,132,3,0,1,0,技術員,低
121,0.31,0.84,7,133,5,0,1,0,技術員,低
122,0.1,0.84,6,283,4,1,1,0,技術員,低
123,0.42,0.48,2,129,3,0,1,0,經理,低
124,0.74,1,4,249,5,0,1,0,資訊科技,低
125,0.73,0.87,5,257,5,0,1,0,資訊科技,低
126,0.09,0.96,6,245,4,0,1,0,資訊科技,低
127,0.45,0.53,2,155,3,0,1,0,資訊科技,低
128,0.11,0.8,6,256,4,0,1,0,資訊科技,低
129,0.37,0.47,2,152,3,0,1,0,產品管理,低
130,0.84,0.99,4,267,5,0,1,0,產品管理,低
131,0.41,0.46,2,151,3,0,1,0,產品管理,低
132,0.76,0.92,4,239,5,0,1,0,產品管理,低
133,0.11,0.87,6,306,4,0,1,0,資訊科技,低
134,0.84,0.88,4,263,5,1,1,0,行銷,低
135,0.39,0.5,2,147,3,0,1,0,行銷,低
136,0.11,0.91,6,278,4,0,1,0,行銷,低
137,0.45,0.56,2,154,3,0,1,0,行銷,低
138,0.37,0.52,2,143,3,0,1,0,行銷,低
139,0.4,0.52,2,155,3,0,1,0,行銷,低
140,0.39,0.48,2,160,3,0,1,0,業務,低
141,0.11,0.8,6,304,4,0,1,0,財務會計,低
142,0.83,1,5,240,5,0,1,0,技術支援,低
143,0.11,0.92,6,305,4,0,1,0,技術員,低
144,0.39,0.5,2,136,3,0,1,0,經理,低
145,0.45,0.45,2,132,3,0,1,0,行銷,低
146,0.1,0.95,7,301,4,0,1,0,行銷,低
147,0.9,0.98,5,243,6,0,1,0,行銷,低
148,0.45,0.51,2,147,3,0,1,0,業務,低
149,0.79,0.89,5,239,5,0,1,0,業務,低
150,0.9,0.99,5,260,5,0,1,0,業務,低
151,0.11,0.84,7,296,4,0,1,0,業務,低
152,0.43,0.55,2,129,3,0,1,0,業務,低
153,0.31,0.54,5,132,5,0,1,0,業務,低
154,0.32,0.5,2,135,5,0,1,0,業務,低
155,0.45,0.57,2,158,3,0,1,0,業務,低
156,0.81,0.99,4,259,5,0,1,0,業務,低
157,0.41,0.46,2,160,3,0,1,1,業務,低
158,0.11,0.78,7,278,4,0,1,0,業務,低
159,0.1,0.88,6,284,4,0,1,0,業務,低
160,0.7,0.53,2,274,4,0,1,0,業務,低
161,0.54,0.74,4,164,2,0,1,0,業務,低
162,0.41,0.48,2,148,3,0,1,0,業務,低
163,0.38,0.5,2,140,3,0,1,0,業務,中
164,0.37,0.51,2,127,3,0,1,0,業務,中
165,0.11,0.85,6,308,5,0,1,0,業務,中
166,0.4,0.47,2,146,3,0,1,0,業務,中
167,0.1,0.84,6,261,4,0,1,0,財務會計,中
168,0.89,0.99,5,257,5,0,1,0,財務會計,中
169,0.11,0.8,6,285,4,0,1,0,財務會計,中
170,0.36,0.55,2,141,3,0,1,0,人力資源,中
171,0.4,0.46,2,127,3,0,1,0,人力資源,中
172,0.09,0.85,6,297,4,0,1,0,人力資源,中
173,0.4,0.46,2,143,3,0,1,0,人力資源,中
174,0.37,0.55,2,152,3,0,1,0,技術員,中
175,0.44,0.51,2,156,3,0,1,0,技術員,高
176,0.09,0.8,7,283,5,0,1,0,技術員,低
177,0.92,0.87,4,226,6,1,1,0,技術員,中
178,0.74,0.91,4,232,5,0,1,0,技術員,中
179,0.09,0.82,6,249,4,0,1,0,技術員,中
180,0.89,0.95,4,275,5,0,1,0,技術員,中
181,0.09,0.8,6,304,4,0,1,0,技術員,低
182,0.27,0.54,7,278,3,0,1,0,技術員,低
183,0.1,0.91,6,287,4,0,1,0,技術員,低
184,0.1,0.89,7,285,4,0,1,0,技術員,低
185,0.77,0.94,5,226,6,0,1,0,技術支援,低
186,0.9,0.82,5,259,5,0,1,0,技術支援,低
187,0.39,0.5,2,135,3,0,1,0,技術支援,低
188,0.76,1,5,219,5,0,1,0,技術支援,低
189,0.1,0.93,6,256,4,0,1,0,技術支援,低
190,0.87,0.9,5,254,6,0,1,0,技術支援,低
191,0.38,0.5,2,153,3,0,1,0,技術支援,低
192,0.77,0.99,5,228,5,0,1,0,技術支援,低
193,0.78,0.87,4,228,5,0,1,0,技術支援,低
194,0.44,0.5,2,128,3,0,1,0,技術支援,低
195,0.38,0.52,2,153,3,0,1,0,技術支援,低
196,0.43,0.46,2,156,3,0,1,0,技術員,低
197,0.39,0.5,4,294,3,0,1,0,技術員,低
198,0.88,1,5,219,5,0,1,0,技術員,低
199,0.45,0.46,2,153,3,0,1,0,經理,低
200,0.4,0.53,2,151,3,0,1,0,資訊科技,低
201,0.36,0.51,2,155,3,0,1,0,資訊科技,低
202,0.36,0.48,2,158,3,0,1,0,資訊科技,低
203,0.9,0.98,5,245,5,0,1,0,資訊科技,低
204,0.43,0.53,2,131,3,0,1,0,資訊科技,低
205,0.89,0.87,5,225,5,0,1,0,產品管理,低
206,0.1,0.84,6,286,4,0,1,0,產品管理,低
207,0.37,0.5,2,135,3,0,1,0,產品管理,低
208,0.37,0.51,2,153,3,0,1,0,產品管理,低
209,0.87,0.9,5,252,5,0,1,0,資訊科技,低
210,0.4,0.56,2,149,3,0,1,0,財務會計,低
211,0.9,0.97,4,258,5,0,1,0,財務會計,低
212,0.37,0.46,2,158,3,0,1,0,人力資源,低
213,0.44,0.54,2,149,3,0,1,0,人力資源,低
214,0.85,0.95,5,236,5,0,1,0,人力資源,低
215,0.78,0.98,5,239,6,0,1,0,行銷,低
216,0.42,0.47,2,159,3,0,1,0,行銷,低
217,0.92,0.99,5,255,6,0,1,0,業務,低
218,0.11,0.83,6,244,4,0,1,0,財務會計,低
219,0.42,0.56,2,134,3,0,1,0,技術支援,低
220,0.48,0.57,4,270,4,0,1,0,技術員,低
221,0.83,0.85,4,255,5,0,1,0,經理,低
222,0.4,0.53,2,151,3,0,1,0,行銷,低
223,0.43,0.45,2,135,3,0,1,0,行銷,低
224,0.43,0.53,2,146,3,0,1,0,行銷,低
225,0.1,0.97,7,254,4,0,1,0,業務,低
226,0.1,0.87,7,289,4,0,1,0,業務,低
227,0.37,0.46,2,156,3,0,1,0,業務,低
228,0.38,0.53,2,156,3,0,1,0,業務,低
229,0.4,0.5,2,128,3,0,1,0,業務,低
230,0.89,0.86,5,275,5,0,1,0,業務,低
231,0.45,0.46,2,155,3,0,1,0,業務,低
232,0.37,0.48,2,159,3,0,1,0,業務,低
233,0.46,0.49,2,148,3,0,1,0,業務,低
234,0.87,0.91,4,228,5,0,1,0,業務,低
235,0.11,0.84,6,298,4,0,1,0,業務,低
236,0.79,0.87,5,261,5,0,1,0,業務,低
237,0.79,0.92,5,254,6,0,1,0,業務,低
238,0.19,0.59,7,192,3,0,1,0,業務,低
239,0.87,0.98,4,248,5,0,1,0,業務,低
240,0.6,0.92,2,258,5,0,1,0,業務,低
241,0.44,0.45,2,156,3,0,1,0,業務,中
242,0.11,0.81,6,266,4,1,1,0,業務,中
243,0.42,0.54,2,156,3,0,1,0,業務,中
244,0.88,0.88,5,232,5,1,1,0,財務會計,中
245,0.11,0.84,6,287,4,0,1,0,財務會計,中
246,0.46,0.46,2,154,3,0,1,0,財務會計,中
247,0.82,0.97,5,263,5,0,1,0,人力資源,中
248,0.44,0.56,2,131,3,0,1,0,人力資源,中
249,0.11,0.78,6,260,4,0,1,0,人力資源,中
250,0.42,0.5,2,139,3,0,1,0,人力資源,中
251,0.84,0.93,4,251,5,0,1,0,技術員,中
252,0.11,0.95,6,286,4,0,1,0,技術員,中
253,0.45,0.53,2,129,3,0,1,0,技術員,高
254,0.38,0.56,2,156,3,0,1,0,技術員,低
255,0.38,0.86,6,139,6,0,1,0,技術員,中
256,0.44,0.51,2,127,3,0,1,0,技術員,中
257,0.11,0.84,6,251,4,0,1,0,技術員,中
258,0.81,0.93,5,270,5,0,1,0,技術員,中
259,0.09,0.96,6,296,4,0,1,0,技術員,低
260,0.11,0.9,6,254,4,0,1,0,技術員,低
261,0.81,0.95,5,238,6,0,1,0,技術員,低
262,0.1,0.97,6,267,4,1,1,0,技術支援,低
263,0.74,0.89,5,229,6,0,1,0,技術支援,低
264,0.09,0.78,6,254,4,0,1,0,技術支援,低
265,0.82,0.81,4,233,4,1,1,0,技術支援,低
266,0.1,0.98,6,268,4,0,1,0,技術支援,低
267,0.27,0.56,3,301,3,0,1,0,技術支援,低
268,0.83,0.92,5,267,6,0,1,0,技術支援,低
269,0.1,0.93,6,289,4,1,1,0,技術支援,低
270,0.38,0.47,2,144,3,0,1,0,技術支援,低
271,0.4,0.56,2,148,3,0,1,0,技術支援,低
272,0.11,0.83,6,306,4,0,1,0,技術支援,低
273,0.11,0.79,6,292,4,0,1,1,技術員,低
274,0.82,0.91,5,232,5,0,1,0,技術員,低
275,0.36,0.48,2,137,3,0,1,0,技術員,低
276,0.4,0.46,2,128,3,0,1,0,經理,低
277,0.87,0.84,5,231,5,0,1,0,資訊科技,低
278,0.41,0.49,2,146,3,0,1,0,資訊科技,低
279,0.11,0.91,6,308,4,1,1,0,資訊科技,低
280,0.1,0.93,6,253,4,0,1,0,資訊科技,中
281,0.38,0.51,2,146,3,0,1,0,資訊科技,中
282,0.39,0.55,2,156,3,0,1,0,產品管理,中
283,0.4,0.52,2,147,3,0,1,0,產品管理,中
284,0.45,0.48,2,136,3,0,1,0,產品管理,中
285,0.74,0.84,5,249,5,0,1,0,產品管理,中
286,0.45,0.55,2,151,3,0,1,0,資訊科技,中
287,0.12,1,3,278,4,0,1,0,研發,中
288,0.1,0.77,7,250,5,0,1,0,研發,中
289,0.37,0.55,2,127,3,0,1,0,研發,中
290,0.89,0.87,5,255,5,0,1,0,研發,中
291,0.45,0.47,2,135,3,0,1,0,研發,中
292,0.37,0.46,2,149,3,0,1,0,行銷,高
293,0.11,0.81,5,287,4,0,1,0,業務,低
294,0.41,0.48,2,145,3,0,1,0,財務會計,中
295,0.1,0.94,6,285,4,0,1,0,技術支援,中
296,0.1,0.93,7,305,4,0,1,0,技術員,中
297,0.11,0.95,7,300,4,0,1,0,經理,中
298,0.4,0.54,2,139,3,0,1,0,行銷,低
299,0.41,0.49,2,130,3,0,1,0,行銷,低
300,0.1,0.81,6,268,4,0,1,0,行銷,低
301,0.73,0.86,4,245,6,0,1,0,業務,低
302,0.43,0.47,2,135,3,0,1,0,業務,低
303,0.37,0.46,2,153,3,0,1,0,業務,低
304,0.11,0.94,6,276,4,0,1,0,業務,低
305,0.4,0.46,2,130,3,0,1,0,業務,低
306,0.41,0.54,2,153,3,1,1,0,業務,低
307,0.82,0.84,5,244,5,0,1,0,業務,低
308,0.61,0.47,2,253,3,0,1,0,業務,低
309,0.11,0.91,7,287,4,0,1,0,業務,低
310,0.37,0.45,2,131,3,0,1,0,業務,低
311,0.41,0.52,2,135,3,0,1,0,業務,低
312,0.37,0.52,2,157,3,0,1,0,業務,低
313,0.88,0.99,5,262,6,0,1,0,業務,低
314,0.1,0.85,6,266,4,0,1,0,業務,低
315,0.44,0.48,2,148,3,0,1,0,業務,低
316,0.38,0.57,2,140,3,0,1,0,業務,低
317,0.11,0.85,7,302,4,0,1,0,業務,低
318,0.09,0.98,6,271,4,0,1,0,業務,低
319,0.45,0.52,2,145,3,0,1,0,業務,中
320,0.1,0.81,6,290,4,0,1,0,財務會計,中
321,0.45,0.47,2,151,3,0,1,0,財務會計,中
322,0.77,0.87,5,266,5,0,1,0,財務會計,中
323,0.44,0.51,2,140,3,0,1,0,人力資源,中
324,0.39,0.5,2,142,3,0,1,0,人力資源,中
325,0.1,0.91,6,246,4,0,1,0,人力資源,中
326,0.09,0.89,7,308,5,0,1,0,人力資源,中
327,0.37,0.47,2,141,3,0,1,0,技術員,中
328,0.9,1,5,232,5,0,1,0,技術員,中
329,0.41,0.56,2,143,3,0,1,0,技術員,中
330,0.37,0.52,2,155,3,0,1,0,技術員,中
331,0.1,0.86,6,278,4,0,1,0,技術員,高
332,0.81,1,4,253,5,0,1,0,技術員,低
333,0.11,0.8,6,282,4,0,1,0,技術員,中
334,0.11,0.84,7,264,4,0,1,0,技術員,中
335,0.4,0.46,2,149,3,0,1,0,技術員,中
336,0.09,0.8,6,304,5,0,1,0,技術員,中
337,0.48,0.93,3,219,6,0,1,0,技術員,低
338,0.91,0.91,4,262,6,0,1,0,技術支援,低
339,0.43,0.57,2,135,3,0,1,0,技術支援,低
340,0.33,0.88,6,219,5,0,1,0,技術支援,低
341,0.41,0.57,2,136,3,0,1,0,技術支援,低
342,0.41,0.55,2,154,3,0,1,0,技術支援,低
343,0.37,0.54,2,149,3,0,1,0,技術支援,低
344,0.31,0.62,6,135,5,0,1,0,技術支援,低
345,0.09,0.91,6,275,4,0,1,0,技術支援,低
346,0.1,0.87,6,290,4,0,1,0,技術支援,低
347,0.76,0.9,4,263,5,0,1,0,技術支援,低
348,0.41,0.54,2,145,3,0,1,0,技術支援,低
349,0.72,0.96,5,267,5,0,1,0,技術員,低
350,0.4,0.5,2,141,3,1,1,0,技術員,低
351,0.91,0.87,4,235,5,0,1,0,技術員,低
352,0.1,0.83,6,258,4,0,1,0,經理,低
353,0.4,0.56,2,131,3,0,1,0,資訊科技,低
354,0.82,0.86,5,243,5,0,1,0,資訊科技,低
355,0.1,0.82,6,266,4,0,1,0,資訊科技,低
356,0.37,0.45,2,142,3,0,1,0,資訊科技,低
357,0.36,0.51,2,135,3,0,1,0,資訊科技,低
358,0.39,0.48,2,141,3,0,1,0,產品管理,中
359,0.36,0.57,2,142,3,0,1,0,產品管理,中
360,0.86,0.84,5,254,5,0,1,0,產品管理,中
361,0.73,0.99,5,262,5,0,1,0,產品管理,中
362,0.56,0.71,4,296,2,0,1,0,資訊科技,中
363,0.44,0.56,2,158,3,0,1,0,財務會計,中
364,0.31,0.56,4,238,2,0,1,0,財務會計,中
365,0.77,0.93,4,231,5,0,1,0,人力資源,中
366,0.44,0.45,2,156,3,0,1,0,人力資源,中
367,0.38,0.46,2,145,3,0,1,0,人力資源,中
368,0.45,0.48,2,144,3,0,1,0,行銷,中
369,0.38,0.51,2,159,3,0,1,0,業務,中
370,0.36,0.48,2,156,3,0,1,0,財務會計,高
371,0.75,0.9,5,256,5,0,1,0,技術支援,低
372,0.1,0.93,6,298,4,0,1,0,技術員,中
373,0.1,0.97,6,247,4,0,1,0,經理,中
374,0.45,0.5,2,157,3,0,1,0,行銷,中
375,0.42,0.57,2,154,3,1,1,0,行銷,中
376,0.78,1,4,253,5,0,1,0,行銷,低
377,0.45,0.55,2,148,3,0,1,0,業務,低
378,0.84,1,4,261,5,0,1,0,業務,低
379,0.11,0.93,6,282,4,0,1,0,業務,低
380,0.42,0.56,2,133,3,0,1,0,業務,低
381,0.45,0.46,2,128,3,0,1,0,業務,低
382,0.46,0.57,2,139,3,0,1,0,業務,低
383,0.09,0.79,6,293,5,0,1,0,業務,低
384,0.87,0.83,4,265,6,0,1,0,業務,低
385,0.1,0.87,6,250,4,0,1,0,業務,低
386,0.91,1,5,251,6,0,1,0,業務,低
387,0.76,0.92,4,246,5,0,1,0,業務,低
388,0.74,1,5,275,5,0,1,0,業務,低
389,0.92,0.93,5,240,5,0,1,0,業務,低
390,0.76,0.87,5,245,5,0,1,0,業務,低
391,0.47,0.5,4,254,4,0,1,0,業務,低
392,0.73,0.99,5,241,5,0,1,0,業務,低
393,0.09,0.94,6,257,4,0,1,0,業務,低
394,0.91,0.92,4,246,5,0,1,0,業務,低
395,0.82,0.98,4,233,5,0,1,0,業務,低
396,0.28,0.45,6,218,4,0,1,0,財務會計,低
397,0.84,0.99,4,262,6,0,1,0,財務會計,中
398,0.45,0.53,2,138,3,0,1,0,財務會計,中
399,0.45,0.54,2,142,3,0,1,0,人力資源,中
400,0.91,0.97,5,233,5,0,1,0,人力資源,中
401,0.42,0.48,2,155,3,0,1,0,人力資源,中
402,0.82,1,4,229,6,0,1,0,人力資源,中
403,0.11,0.9,6,264,4,0,1,0,技術員,中
404,0.42,0.53,3,199,4,0,1,0,技術員,中
405,0.82,0.85,4,223,5,0,1,0,技術員,中
406,0.09,0.96,6,268,4,0,1,0,技術員,中
407,0.1,0.94,6,287,4,0,1,0,技術員,中
408,0.86,1,5,257,5,0,1,0,技術員,中
409,0.4,0.46,2,143,3,0,1,0,技術員,高
410,0.45,0.46,2,130,3,0,1,0,技術員,低
411,0.42,0.51,2,136,3,0,1,0,技術員,中
412,0.74,0.92,4,261,5,0,1,0,技術員,中
413,0.55,0.6,3,180,4,0,1,0,技術員,中
414,0.37,0.45,2,126,3,0,1,0,技術支援,中
415,0.41,0.52,2,127,3,1,1,0,技術支援,低
416,0.89,0.65,5,195,6,0,1,0,技術支援,低
417,0.41,0.57,2,160,3,0,1,0,技術支援,低
418,0.44,0.51,2,150,3,0,1,0,技術支援,低
419,0.87,0.84,4,264,6,0,1,0,技術支援,低
420,0.1,0.84,6,309,4,0,1,0,技術支援,低
421,0.41,0.47,2,135,3,0,1,0,技術支援,低
422,0.11,0.85,6,261,4,0,1,0,技術支援,低
423,0.43,0.53,2,160,3,0,1,0,技術支援,低
424,0.77,0.9,4,237,5,0,1,0,技術支援,低
425,0.41,0.52,2,136,3,0,1,0,技術員,低
